Episode 014 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved 
Episode 015 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved 
Episode 016 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved 
Episode 017 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0002 | entropy=0.000 | saved 
Episode 018 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0002 | entropy=0.000 | saved 
Episode 019 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0002 | entropy=0.000 | saved 
Episode 020 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved



Episode 001 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved 
Episode 002 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved 
Episode 003 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved 
Episode 004 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved 
Episode 005 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved 
Episode 006 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved 
Episode 007 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved 
Episode 008 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved 
Episode 009 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved 
